"regionID","regionName"
1000002,Kabul
1000003,Luanda
1000004,The Valley
1000010,Abu Dhabi
1000011,Ajman
1000012,Al Ain
1000013,Dubai
1000014,Ras Al-Khaimah
1000018,Salta
1000021,Avellaneda
1000024,Bahia Blanca
1000025,Balcarce
1000027,Brandsen
1000028,Campana
1000029,Chacabuco
1000030,Colon
1000031,Del Viso
1000035,Isidro Casanova
1000036,Junin
1000037,La Plata
1000039,Lomas de Zamora
1000040,Luis Guillon
1000041,Lujan
1000042,Mar del Plata
1000044,Moron
1000045,Olavarria
1000047,Pergamino
1000050,Pinamar
1000053,Quilmes
1000058,San Antonio de Padua
1000059,San Fernando
1000060,San Isidro
1000062,San Nicolas de los Arroyos
1000063,San Pedro
1000065,Tandil
1000066,Tortuguitas
1000067,Trenque Lauquen
1000069,Vicente Lopez
1000070,Villa Gesell
1000072,Zarate
1000073,Buenos Aires
1000075,Concepcion del Uruguay
1000077,Gualeguaychu
1000078,Parana
1000080,La Rioja
1000081,Santiago del Estero
1000082,Resistencia
1000083,Roque Saenz Pena
1000085,San Juan
1000086,Catamarca
1000088,General Pico
1000089,Santa Rosa
1000092,Mendoza
1000094,San Martin
1000095,San Rafael
1000096,Posadas
1000097,Formosa
1000099,Neuquen
1000100,San Martin de los Andes
1000104,San Carlos de Bariloche
1000105,Viedma
1000108,Rafaela
1000109,Rosario
1000112,Santa Fe
1000114,Venado Tuerto
1000115,Villa Constitucion
1000116,San Miguel de Tucuman
1000117,Comodoro Rivadavia
1000119,Puerto Madryn
1000121,Rio Grande
1000122,Ushuaia
1000123,Corrientes
1000126,Cordoba
1000128,Rio Cuarto
1000129,San Francisco
1000130,Villa Maria
1000133,Jujuy
1000134,Caleta Olivia
1000135,Rio Gallegos
1000138,Saint John's
1000142,Canberra
1000144,Barwon Downs
1000148,Albury
1000149,Armidale
1000152,Ballina
1000156,Batemans Bay
1000157,Bathurst
1000170,Broken Hill
1000173,Cessnock
1000184,Coffs Harbour
1000200,Dubbo
1000211,Goulburn
1000212,Grafton
1000213,Griffith
1000225,Kiama
1000226,Victoria Point
1000227,Katoomba
1000233,Lismore
1000234,Lithgow
1000236,Maitland
1000246,Craigieburn
1000250,Muswellbrook
1000255,Newcastle
1000259,Nowra
1000262,Orange
1000264,Parkes
1000269,Port Macquarie
1000274,Raymond Terrace
1000278,Richmond
1000281,Sawtell
1000284,Singleton
1000286,Sydney
1000287,Tamworth
1000288,Taree
1000304,Wagga Wagga
1000314,Wollongong
1000320,Alice Springs
1000322,Darwin
1000336,Bongaree
1000339,Brisbane
1000341,Buderim
1000342,Bundaberg
1000346,Caboolture
1000347,Cairns
1000348,Caloundra
1000358,Dalby
1000364,Gladstone
1000366,Gympie
1000376,Kingston
1000377,Kawana
1000380,Mackay
1000382,Maroochydore
1000383,Maryborough
1000388,Mount Isa
1000390,Nambour
1000392,Nerang
1000401,Redcliffe
1000404,Rockhampton
1000412,Toowoomba
1000414,Townsville
1000415,Warwick
1000422,Adelaide
1000438,Gawler
1000449,Mount Gambier
1000450,Murray Bridge
1000456,Port Augusta
1000457,Port Lincoln
1000458,Port Pirie
1000469,Whyalla
1000476,Burnie - Somerset
1000479,Devonport
1000480,Hobart
1000481,Launceston
1000485,Ulverstone
1000490,Bacchus Marsh
1000491,Bairnsdale
1000492,Ballarat
1000498,Bendigo
1000521,Cranbourne
1000530,Echuca
1000537,Geelong
1000549,Horsham
1000550,Palmerston City
1000567,Melbourne
1000568,Melton
1000571,Mildura
1000572,Moe - Newborough
1000576,Morwell
1000588,Colac
1000590,Pakenham
1000593,Portland
1000594,Central Coast
